numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.6008,-0.0269,0.8281,-1.7252,0.6641,1.1679
2,0.3267,-0.6035,1.1743,121.2748,99.1603,-40.6489
3,-0.9077,-2.0000,0.9087,107.0992,55.4351,84.2595
4,0.3496,-1.4189,1.0461,125.7481,-41.4046,-91.6412
5,-0.2996,1.2598,0.1558,218.3053,51.2214,-51.4198
6,0.7161,0.8208,1.7356,250.1298,-133.4275,-250.1374
7,1.1042,-2.0000,0.6582,250.1298,-20.3130,-94.8244
8,0.0771,0.3630,0.0188,4.5878,-159.8092,22.6565
9,0.5803,-0.4177,1.9999,-250.1374,250.1298,250.1298
10,-0.0972,-0.9009,0.7266,-122.4809,-13.1374,43.4275
11,0.4263,0.8062,-0.2327,26.8702,-37.6260,46.2137
12,0.3879,0.8838,0.5352,250.1298,-112.4504,-0.6031
13,0.1743,0.6912,0.6553,250.1298,-40.8473,25.5344
14,0.4275,0.9050,0.6260,250.1298,-29.3664,-89.1679
15,0.4438,0.8369,0.8584,250.1298,9.9084,-150.3512
16,0.6045,-0.0942,0.8069,2.2137,-0.6641,15.4885
17,0.6426,-0.2073,1.1177,126.4657,95.2137,-67.7557
18,0.2859,-0.6189,1.2329,247.0458,-65.8702,-82.7939
19,0.1326,0.1104,1.1753,250.1298,-88.8626,-34.4275
20,-0.2124,-0.3760,0.9856,250.1298,-7.1298,-131.4657
